Angle0 Angle1 Angle2 Angle3 Angle4 Angle5 Bond0 Bond1 Bond2 Bond3
 70.6 89.4 92.0 93.9 127.0 136.7 1.13873 1.14382 1.14605 1.40265
 70.0 90.0 91.4 93.3 127.4 136.7 1.11463 1.15631 1.16038 1.40654
 69.5 90.6 91.0 92.9 127.7 136.7 1.08516 1.17349 1.17352 1.40960
 68.9 90.6 91.2 92.6 128.1 136.6 1.05607 1.18525 1.19002 1.41179
 68.3 90.3 91.9 92.4 128.4 136.5 1.02812 1.19534 1.20564 1.41307
 67.8 90.1 92.4 92.6 128.7 136.3 1.00216 1.20362 1.22015 1.41339
 67.2 90.0 92.4 93.3 129.0 136.0 0.97912 1.20991 1.23336 1.41271
 66.6 90.0 92.6 94.2 129.3 135.7 0.95994 1.21410 1.24511 1.41099
 66.0 90.1 92.9 95.0 129.6 135.3 0.94549 1.21610 1.25527 1.40819
 65.5 90.2 93.3 96.0 129.8 134.8 0.93649 1.21584 1.26373 1.40426
 64.9 90.5 93.8 96.9 130.1 134.3 0.93345 1.21332 1.27044 1.39918
 64.3 90.9 94.5 97.9 130.3 133.6 0.93652 1.20857 1.27535 1.39292
 63.7 91.4 95.3 98.9 130.4 133.0 0.94557 1.20168 1.27849 1.38548
 63.1 91.9 96.2 99.9 130.5 132.2 0.96012 1.19278 1.27988 1.37686
 62.4 92.6 97.2 100.9 130.5 131.4 0.97946 1.18204 1.27959 1.36706
 61.8 93.4 98.3 101.8 130.4 130.5 1.00272 1.16970 1.27772 1.35613
 61.1 94.3 99.5 102.8 129.5 130.3 1.02895 1.15601 1.27437 1.34411
 60.4 95.3 100.9 103.7 128.5 130.2 1.05722 1.14126 1.26965 1.33105
 59.7 96.4 102.3 104.6 127.4 129.9 1.08666 1.12579 1.26369 1.31705
 59.0 97.7 103.9 105.5 126.3 129.6 1.10994 1.11650 1.25663 1.30218
 58.2 99.0 105.5 106.4 125.1 129.3 1.09410 1.14606 1.24860 1.28656
 57.4 100.4 107.2 107.2 123.9 128.9 1.07867 1.17476 1.23975 1.27029
 56.6 101.9 108.0 109.0 122.6 128.5 1.06408 1.20216 1.23020 1.25353
 55.7 103.5 108.8 110.8 121.2 128.0 1.05073 1.22013 1.22784 1.23643
 54.8 105.2 109.6 112.7 119.8 127.5 1.03904 1.20968 1.21916 1.25151
 53.9 107.0 110.4 114.6 118.4 127.0 1.02938 1.19903 1.20192 1.27291
 53.0 108.8 111.1 116.5 116.9 126.4 1.02204 1.18492 1.18834 1.29183
 52.1 110.7 111.8 115.5 118.4 125.8 1.01727 1.16840 1.17779 1.30814
 51.2 112.5 112.6 114.1 120.3 125.2 1.01522 1.15260 1.16758 1.32169
 50.3 112.7 113.2 114.4 122.2 124.6 1.01590 1.13780 1.15791 1.33240
 49.4 111.3 113.9 116.2 123.9 124.0 1.01926 1.12427 1.14897 1.34020
 48.6 110.0 114.6 118.0 123.3 125.7 1.02511 1.11226 1.14098 1.34505
 47.9 108.8 115.2 119.7 122.6 127.3 1.03320 1.10204 1.13413 1.34691
 47.3 107.6 115.8 121.3 121.9 128.8 1.04320 1.09384 1.12860 1.34577
 46.8 106.6 116.4 121.2 122.8 130.2 1.05472 1.08785 1.12457 1.34163
 46.4 105.6 116.9 120.5 124.3 131.4 1.06738 1.08422 1.12217 1.33452
 46.1 104.7 117.4 119.7 125.5 132.5 1.08077 1.08302 1.12149 1.32446
 46.0 104.0 117.9 118.9 126.7 133.5 1.08428 1.09450 1.12260 1.31151
 46.0 103.3 118.1 118.3 127.7 134.3 1.08795 1.10824 1.12550 1.29576
 46.2 102.8 117.2 118.7 128.6 135.0 1.09392 1.12164 1.13015 1.27730
 46.6 102.3 116.3 119.1 129.3 135.5 1.10201 1.13444 1.13645 1.25629
 47.0 102.0 115.3 119.5 129.9 135.9 1.11201 1.14427 1.14639 1.23290
 47.6 101.7 114.3 119.8 130.4 136.2 1.12364 1.15346 1.15730 1.20736
 48.3 101.6 113.2 120.2 130.8 136.3 1.13663 1.16382 1.16699 1.17999
 49.0 101.6 112.1 120.5 131.1 136.3 1.15066 1.15114 1.17514 1.17535
 49.9 101.6 110.9 120.8 131.3 136.2 1.12127 1.16544 1.18227 1.18720
 50.8 101.8 109.6 121.0 131.4 136.0 1.09095 1.18064 1.18769 1.19979
 51.7 102.0 108.2 121.2 131.4 135.7 1.06084 1.19154 1.19597 1.21269
 52.7 102.4 106.8 121.4 131.4 135.3 1.03173 1.19380 1.21113 1.22570
 53.7 102.8 105.3 121.6 131.3 134.9 1.00453 1.19445 1.22585 1.23863
 54.7 103.3 103.7 121.7 131.2 134.4 0.98019 1.19349 1.23988 1.25130
 55.7 102.0 103.9 121.7 131.0 133.9 0.95972 1.19094 1.25298 1.26357
 56.8 100.2 104.6 121.8 130.8 133.3 0.94408 1.18682 1.26493 1.27530
 57.8 98.4 105.3 121.7 130.6 132.7 0.93405 1.18118 1.27555 1.28640
 58.9 96.6 106.1 121.6 130.3 132.1 0.93019 1.17410 1.28468 1.29678
 59.9 94.8 106.8 121.5 130.0 131.4 0.93273 1.16566 1.29218 1.30637
 61.0 92.9 107.6 121.3 129.7 130.8 0.94154 1.15599 1.29797 1.31514
 62.1 91.1 108.4 121.1 129.4 130.1 0.95615 1.14525 1.30196 1.32304
 63.2 89.4 109.1 121.0 129.0 129.4 0.97583 1.13361 1.30412 1.33005
 64.3 87.7 109.9 120.8 128.6 128.7 0.99968 1.12131 1.30440 1.33614
 65.4 86.1 110.6 120.7 127.9 128.2 1.02672 1.10859 1.30280 1.34128
 66.5 84.6 111.3 120.6 127.1 127.8 1.05600 1.09571 1.29931 1.34545
 67.6 83.1 112.0 120.5 126.3 127.3 1.08299 1.08665 1.29393 1.34862
 68.7 81.7 112.7 120.5 125.5 126.7 1.07073 1.11788 1.28666 1.35076
 69.9 80.4 113.3 120.5 124.7 126.1 1.05925 1.14904 1.27753 1.35185
 71.1 79.2 113.9 120.6 123.9 125.4 1.04886 1.17959 1.26656 1.35186
 72.3 78.0 114.6 120.8 123.1 124.6 1.03987 1.20910 1.25381 1.35078
 73.6 76.9 115.2 121.0 122.3 123.8 1.03254 1.23722 1.23934 1.34861
 74.9 75.9 115.7 121.3 121.5 123.0 1.02710 1.22324 1.26370 1.34533
 74.8 76.3 116.3 120.7 121.6 122.1 1.02372 1.20565 1.28834 1.34096
 73.8 77.7 116.8 119.9 121.1 122.1 1.02249 1.18673 1.31099 1.33552
 72.8 79.2 117.3 119.1 120.1 122.6 1.02345 1.16670 1.32904 1.33155
 71.8 80.8 117.8 118.4 119.1 123.1 1.02653 1.14582 1.32155 1.34996
 70.9 82.4 117.6 118.0 118.2 123.7 1.03162 1.12440 1.31310 1.36615
 69.9 84.2 116.9 116.9 118.6 124.4 1.03852 1.10284 1.30375 1.38012
 68.9 86.0 115.8 116.3 119.0 125.2 1.04698 1.08157 1.29357 1.39184
 68.0 88.0 114.7 115.6 119.3 126.0 1.05673 1.06108 1.28264 1.40132
 67.0 90.0 113.6 115.0 119.6 126.8 1.04192 1.06745 1.27105 1.40857
 66.0 92.2 112.4 114.5 119.9 127.6 1.02464 1.07883 1.25887 1.41359
 64.9 94.4 111.3 113.9 120.2 128.5 1.00981 1.09056 1.24622 1.41640
 63.9 96.7 110.2 113.4 120.4 129.4 0.99797 1.10232 1.23321 1.41703
 62.8 99.1 109.2 112.9 120.6 130.2 0.98954 1.11385 1.21994 1.41550
 61.7 101.5 108.1 112.5 120.8 131.0 0.98489 1.12490 1.20656 1.41186
 60.6 104.0 107.2 112.0 121.0 131.8 0.98418 1.13523 1.19321 1.40615
 59.5 106.3 106.5 111.6 121.2 132.5 0.98743 1.14465 1.18005 1.39845
 58.3 105.5 109.0 111.3 121.3 133.1 0.99450 1.15301 1.16726 1.38882
 57.1 104.7 110.9 111.5 121.5 133.6 1.00507 1.15502 1.16017 1.37738
 56.0 104.1 110.5 113.9 121.6 134.1 1.01870 1.14356 1.16602 1.36423
 54.8 103.6 110.2 116.3 121.7 134.4 1.03488 1.13307 1.17047 1.34950
 53.6 103.2 109.8 118.7 121.9 134.6 1.05303 1.12379 1.17347 1.33333
 52.5 102.8 109.4 121.0 122.0 134.7 1.07256 1.11592 1.17497 1.31589
 51.3 102.6 109.0 122.0 123.2 134.7 1.09293 1.10966 1.17496 1.29734
 50.2 102.5 108.6 122.1 125.3 134.6 1.10519 1.11359 1.17342 1.27789
 49.2 102.5 108.2 122.1 127.3 134.4 1.10264 1.13408 1.17039 1.25775
