Angle0 Angle1 Angle2 Angle3 Angle4 Angle5 Bond0 Bond1 Bond2 Bond3
 79.0 89.1 94.9 105.1 156.3 158.0 1.06140 1.19572 1.27808 1.34189
 78.8 89.0 95.1 105.9 155.6 157.2 1.06130 1.20474 1.29186 1.36706
 78.7 88.8 95.2 106.6 154.9 156.4 1.06262 1.21267 1.30376 1.38997
 78.6 88.8 95.3 107.3 154.2 155.5 1.06531 1.21941 1.31368 1.41058
 78.5 88.8 95.4 107.9 153.4 154.5 1.06931 1.22491 1.32157 1.42885
 78.5 88.8 95.5 108.6 152.6 153.6 1.07451 1.22909 1.32737 1.44480
 78.5 89.0 95.5 109.1 151.8 152.6 1.08079 1.23193 1.33104 1.45843
 78.5 89.1 95.6 109.6 151.0 151.5 1.08800 1.23339 1.33258 1.46976
 78.6 89.4 95.6 110.1 150.1 150.5 1.09595 1.23345 1.33195 1.47882
 78.7 89.7 95.6 110.6 149.2 149.4 1.10449 1.23209 1.32917 1.48565
 78.9 90.1 95.6 111.0 148.3 148.3 1.11342 1.22934 1.32424 1.49028
 79.1 90.6 95.6 111.4 147.2 147.3 1.12256 1.22521 1.31719 1.49278
 79.3 91.1 95.6 111.8 146.0 146.3 1.13174 1.21972 1.30805 1.49317
 79.6 91.7 95.6 112.1 144.8 145.3 1.14079 1.21293 1.29686 1.49152
 79.9 92.4 95.5 112.4 143.6 144.2 1.14955 1.20490 1.28370 1.48786
 80.2 93.1 95.5 112.7 142.4 143.1 1.15788 1.19571 1.26866 1.48226
 80.6 93.9 95.4 113.0 141.2 141.9 1.16564 1.18546 1.25183 1.47476
 81.0 94.8 95.3 113.2 139.9 140.7 1.17271 1.17428 1.23336 1.46543
 81.5 95.2 95.7 113.5 138.7 139.4 1.16231 1.17899 1.21342 1.45433
 81.9 95.1 96.7 113.7 137.4 138.1 1.14971 1.18437 1.19220 1.44152
 82.5 95.0 97.8 113.9 136.1 136.7 1.13668 1.16997 1.18876 1.42709
 83.1 94.8 98.9 114.1 134.8 135.2 1.12343 1.14701 1.19210 1.41111
 83.7 94.7 100.1 114.4 133.5 133.7 1.11019 1.12368 1.19432 1.39367
 84.3 94.5 101.3 114.6 132.1 132.2 1.09722 1.10040 1.19536 1.37490
 85.0 94.3 102.7 114.8 130.6 130.8 1.07762 1.08480 1.19518 1.35489
 85.8 94.2 104.0 115.0 129.0 129.5 1.05588 1.07320 1.19373 1.33379
 86.5 94.0 105.4 115.2 127.3 128.1 1.03573 1.06271 1.19098 1.31175
 87.3 93.8 106.9 115.4 125.6 126.8 1.01777 1.05361 1.18692 1.28895
 88.2 93.5 108.4 115.6 123.9 125.4 1.00257 1.04616 1.18155 1.26559
 89.0 93.3 110.0 115.8 122.2 124.1 0.99067 1.04058 1.17486 1.24189
 89.9 93.1 111.6 116.0 120.5 122.8 0.98252 1.03708 1.16689 1.21811
 90.7 92.8 113.2 116.1 118.8 121.4 0.97843 1.03579 1.15770 1.19453
 91.6 92.5 114.8 116.3 117.2 120.2 0.97856 1.03680 1.14736 1.17147
 92.2 92.4 115.7 116.4 116.5 118.9 0.98289 1.04012 1.13599 1.14927
 91.9 93.2 114.2 116.5 117.7 118.1 0.99119 1.04573 1.12373 1.12832
 91.5 93.9 112.8 116.4 116.6 119.8 1.00312 1.05351 1.10900 1.11078
 91.1 94.7 111.6 115.2 116.7 121.4 1.01815 1.06332 1.09169 1.09737
 90.6 95.4 110.4 114.1 116.7 123.0 1.03571 1.07497 1.07680 1.08378
 90.1 96.0 109.4 112.9 116.8 124.6 1.05514 1.06465 1.07032 1.08824
 89.5 96.7 108.4 111.8 116.8 126.1 1.05555 1.05736 1.07577 1.10291
 88.9 97.4 107.6 110.6 116.8 127.5 1.04528 1.04969 1.09697 1.11876
 88.2 98.1 106.8 109.5 116.8 129.0 1.03447 1.04717 1.11812 1.13557
 87.4 98.8 106.1 108.4 116.9 130.3 1.02532 1.04798 1.13871 1.15314
 86.5 99.6 105.5 107.2 116.9 131.6 1.01819 1.05194 1.15832 1.17125
 85.6 100.5 104.9 106.1 116.9 132.8 1.01339 1.05883 1.17667 1.18965
 84.6 101.5 104.4 104.9 116.9 134.0 1.01113 1.06833 1.19352 1.20808
 83.7 102.6 103.7 103.9 116.9 135.1 1.01154 1.08014 1.20871 1.22627
 82.7 102.6 103.5 103.8 116.9 136.1 1.01465 1.09391 1.22211 1.24397
 81.7 101.4 103.0 105.1 116.9 137.0 1.02039 1.10932 1.23360 1.26095
 80.7 100.3 102.7 106.4 116.9 137.9 1.02858 1.12605 1.24309 1.27700
 79.7 99.2 102.3 107.7 116.9 138.6 1.03898 1.14376 1.25052 1.29194
 78.7 98.1 102.0 109.1 116.9 139.3 1.05127 1.16218 1.25584 1.30561
 77.8 97.1 101.7 110.6 116.9 139.9 1.06510 1.18100 1.25902 1.31788
 76.8 96.1 101.5 112.1 116.9 140.4 1.08009 1.19999 1.26007 1.32864
 75.9 95.2 101.3 113.6 116.9 140.8 1.09588 1.21890 1.25898 1.33779
 75.0 94.4 101.1 115.1 117.0 141.2 1.11208 1.23753 1.25579 1.34526
 74.2 93.5 100.9 116.7 117.0 141.5 1.12837 1.25055 1.25570 1.35099
 73.3 92.7 100.8 117.0 118.2 141.7 1.14442 1.24332 1.27324 1.35492
 72.5 92.0 100.7 117.0 119.8 141.9 1.15994 1.23418 1.29001 1.35701
 71.7 91.3 100.6 117.0 121.4 142.0 1.17468 1.22325 1.30589 1.35724
 71.0 90.7 100.6 117.1 123.0 142.1 1.18841 1.21065 1.32076 1.35559
 70.2 90.1 100.6 117.1 124.6 142.1 1.19653 1.20094 1.33452 1.35206
 69.5 89.5 100.6 117.1 126.3 142.1 1.18109 1.21211 1.34663 1.34709
 68.8 88.9 100.7 117.1 127.9 142.1 1.16455 1.22176 1.33933 1.35840
 68.1 88.4 100.8 117.1 129.6 142.0 1.14716 1.22979 1.33018 1.36838
 67.4 88.0 100.9 117.1 131.2 141.9 1.12921 1.23609 1.31922 1.37695
 66.7 87.5 101.1 117.1 132.9 141.8 1.11104 1.24058 1.30649 1.38408
 66.0 87.1 101.3 117.0 134.6 141.6 1.09302 1.24319 1.29205 1.38970
 65.4 86.7 101.5 117.0 136.3 141.4 1.07554 1.24388 1.27601 1.39376
 64.7 86.4 101.7 116.9 137.9 141.3 1.05905 1.24261 1.25845 1.39622
 64.1 86.1 102.0 116.9 139.6 141.1 1.04398 1.23936 1.23952 1.39704
 63.5 85.8 102.3 116.8 140.8 141.2 1.03077 1.21937 1.23414 1.39617
 62.8 85.5 102.6 116.7 140.6 142.9 1.01984 1.19821 1.22696 1.39359
 62.2 85.3 103.0 116.5 140.4 144.4 1.01154 1.17626 1.21785 1.38927
 61.6 85.1 103.4 116.4 140.1 146.0 1.00615 1.15381 1.20688 1.38321
 61.0 84.9 103.7 116.2 139.9 147.5 1.00385 1.13118 1.19415 1.37540
 60.4 84.8 104.1 116.0 139.7 148.9 1.00471 1.10876 1.17975 1.36586
 59.8 84.7 104.5 115.9 139.4 150.3 1.00868 1.08698 1.16387 1.35464
 59.3 84.6 104.9 115.7 139.2 151.6 1.01557 1.06630 1.14667 1.34178
 58.7 84.6 105.3 115.5 139.0 152.8 1.02512 1.04723 1.12842 1.32736
 58.2 84.6 105.7 115.3 138.8 153.9 1.03031 1.03695 1.10939 1.31150
